feature_set,feature,p_value,rank_biserial,abs_rank_biserial,mean_controls,mean_impaired,rank,selected
all_features,Bifidobacterium,,,,2.0579898125,1.6900285067873304,43,True
all_features,Bilophila,,,,0.095015375,0.057941990950226244,44,True
all_features,Bittarella,,,,0.0014317499999999999,0.001605475113122172,45,True
all_features,Blastocystis,,,,0.011076375,0.00679185520361991,46,True
all_features,Blautia,,,,6.7613943125,10.485767918552034,47,True
all_features,Brachyspira,,,,0.006669,0.011024932126696833,48,True
all_features,Bradyrhizobium,,,,2.8624999999999998e-05,0.0,49,True
all_features,Brochothrix,,,,0.0,0.0010011764705882354,50,True
all_features,Brotolimicola,,,,0.39879375,0.3775700904977376,51,True
all_features,Brucella,,,,0.0008883125,0.0002950226244343891,52,True
all_features,Burkholderiaceae_unclassified,,,,5.99375e-05,5.149321266968326e-05,53,True
all_features,Butyricicoccus,,,,0.06547093749999999,0.006857013574660634,54,True
all_features,Butyricimonas,,,,0.07359624999999999,0.03469628959276018,55,True
all_features,Butyrivibrio,,,,0.17479143749999998,0.11890719457013574,56,True
all_features,Campylobacter,,,,7.868750000000001e-05,0.00030488687782805426,57,True
all_features,Candidatus_Borkfalkia,,,,0.014737749999999999,0.007633122171945703,58,True
all_features,Candidatus_Cibionibacter,,,,1.005662875,1.0912060180995475,59,True
all_features,Candidatus_Gastranaerophilales_unclassified,,,,0.290607375,0.10269515837104072,60,True
all_features,Candidatus_Methanomethylophilus,,,,0.0057328125,0.006911176470588235,61,True
all_features,Candidatus_Nanosynbacter,,,,0.0,0.0002512217194570136,62,True
all_features,Candidatus_Nanosynsacchari,,,,8.8875e-05,9.348416289592761e-05,63,True
all_features,Candidatus_Saccharibacteria_unclassified,,,,0.0036161875000000005,0.0027802714932126694,64,True
all_features,Candidatus_Soleaferrea,,,,2.59375e-05,0.00016072398190045248,65,True
all_features,Candidatus_Stoquefichus,,,,0.0143001875,9.158371040723982e-05,66,True
all_features,Capnocytophaga,,,,0.0,2.16289592760181e-05,67,True
all_features,Carnobacterium,,,,2.28125e-05,0.0,68,True
all_features,Catenibacillus,,,,0.0017905625,0.0007978280542986425,69,True
all_features,Catenibacterium,,,,0.0743788125,0.13442398190045246,70,True
all_features,Cellulosimicrobium,,,,6.90625e-05,0.0,71,True
all_features,Christensenella,,,,0.0034519999999999993,0.0033265610859728512,72,True
all_features,Christensenellaceae_unclassified,,,,0.00040281250000000007,0.00028135746606334843,73,True
all_features,Citrobacter,,,,0.0020221875,0.003914977375565611,74,True
all_features,Cloacibacillus,,,,0.027075312499999997,0.013074841628959276,75,True
all_features,Clostridia_unclassified,,,,0.04656006249999999,0.06607972850678732,76,True
all_features,Clostridiaceae_unclassified,,,,1.138349,1.0413886425339365,77,True
all_features,Clostridioides,,,,6.05625e-05,0.0,78,True
all_features,Clostridium,,,,1.39145325,1.1391134389140272,79,True
all_features,Colidextribacter,,,,0.0058358125,0.005666561085972851,80,True
all_features,Collinsella,,,,0.71948925,1.2243055656108597,81,True
all_features,Comamonas,,,,0.00102725,0.0,82,True
all_features,Companilactobacillus,,,,3.04375e-05,0.0,83,True
all_features,Congzhengia,,,,0.005125687499999999,0.0035909954751131216,84,True
all_features,Coprobacillus,,,,0.01685525,0.02656099547511312,85,True
all_features,Coprobacter,,,,0.043284062500000005,0.04500271493212668,86,True
all_features,Coprococcus,,,,1.2730228125,1.3958538461538461,87,True
all_features,Corynebacterium,,,,0.00010443750000000001,0.00026561085972850676,88,True
all_features,Culturomica,,,,0.0001606875,0.023931674208144797,89,True
all_features,Cuneatibacter,,,,0.006629875,0.007643846153846155,90,True
all_features,Cupriavidus,,,,0.0002638125,1.1447963800904978e-05,91,True
all_features,Dakarella,,,,0.023059749999999997,0.0053939819004524886,92,True
all_features,Debaryomyces,,,,5.4375e-06,0.0,93,True
all_features,Dellaglioa,,,,0.0,0.000145972850678733,94,True
all_features,Desulfovibrio,,,,0.056623437500000005,0.053597285067873306,95,True
all_features,Dialister,,,,0.9639068749999999,0.7394366063348417,96,True
all_features,Dielma,,,,0.001474375,0.0006458823529411765,97,True
all_features,Diplocloster,,,,0.00074275,0.0028275565610859726,98,True
all_features,Dorea,,,,1.0536661875,1.385667601809955,99,True
all_features,Drancourtella,,,,0.0031215,0.00922022624434389,100,True
